"Laps","Time","Cumulative Time","Distance","Avg Pace","Ascent","Total Descent","Calories","Best Pace","Moving Time","Avg Moving Pace"
"1","2:38:51","2:38:51","7.38","21:32","885","456","--","8:30","2:03:45","16:46"
"Summary","2:38:51","2:38:51","7.38","17:42","885","456","368","8:33","2:03:45","16:46"
